requirement_id,topic,original_requirement,v2_requirement,classification,rationale,source,affected_owner,affected_contracts,regeneration_required,review_status
SCOPE-001,dataset_source,MIMIC-IV v2.2,AUTHORIZED_FINAL_SYNTHETIC_DATA,SUPERSEDED,MIMIC authorization was requested but not obtained,Explicit later team/user decision,Sanskruti,data acceptance and provenance,yes,REVIEW_REQUIRED
SCOPE-002,population,Unrestricted adult first-ICU cohort,Adult cardiac or heart-disease cohort,SUPERSEDED,Population was intentionally narrowed,Explicit later team/user decision,Sanskruti,cohort specification,yes,REVIEW_REQUIRED
SCOPE-003,adult_policy,Adult subjects,Adult synthetic subjects,RETAINED,No later decision broadened age scope,Master Plan unchanged topic,Sanskruti,cohort specification,yes,REVIEW_REQUIRED
SCOPE-004,episode_boundary,Current ICU stay with explicit intime and outtime,Synthetic ICU-like current critical-care episode with explicit intime and outtime,SYNTHETIC_EQUIVALENT,Scientific episode purpose is retained without MIMIC fields,Master Plan plus Scope v2,Sanskruti and Vedant,cohort and timestamp input,no,REVIEW_REQUIRED
SCOPE-005,retained_episode,Chronologically first eligible ICU stay,One canonical episode per subject and first eligible if multiple,RETAINED,No approved episode-policy change,Master Plan unchanged topic,Sanskruti,cohort specification,yes,REVIEW_REQUIRED
SCOPE-006,subject_id,MIMIC subject_id,Synthetic subject_id,SYNTHETIC_EQUIVALENT,Identity role retained with synthetic source,Scope v2,Sanskruti and Vedant,canonical schema and split,yes,REVIEW_REQUIRED
SCOPE-007,stay_id,MIMIC stay_id,Synthetic ICU-like episode stay_id,SYNTHETIC_EQUIVALENT,Identity role retained with synthetic source,Scope v2,Sanskruti and Pulkit,canonical schema and serving,yes,REVIEW_REQUIRED
SCOPE-008,intime_outtime,MIMIC ICU intime and outtime,Explicit generator-produced intime and outtime,SYNTHETIC_EQUIVALENT,Measurement bounds may not substitute,Scope v2,Sanskruti,timestamp and remaining-time labels,yes,REVIEW_REQUIRED
SCOPE-009,event_time,Clinical event timestamp at or before cutoff,Synthetic event_time at or before cutoff,RETAINED,Leakage rule is data-source agnostic,Master Plan and serving history,Sanskruti and Pulkit,timeline contract,yes,REVIEW_REQUIRED
SCOPE-010,prediction_grid,t=intime+24h+6h*k k=0..11 and t<=outtime-6h,Unchanged,RETAINED,No later approved clock change,timestamp_spec_v1,Vedant,timestamp_spec_v1,no,REVIEW_REQUIRED
SCOPE-011,history_window,"(t-48h,t]","(t-48h,t]",RETAINED,No later approved history change,timestamp_spec_v1,Sanskruti and Vedant,timestamp and tensor contracts,no,REVIEW_REQUIRED
SCOPE-012,bins,Eight 6-hour bins,Eight 6-hour bins,RETAINED,Canonical sequence design retained,tensor_contract_v1,Sanskruti and Vedant,tensor contract,no,REVIEW_REQUIRED
SCOPE-013,bin_closure,Left-open right-closed,Left-open right-closed,RETAINED,Boundary semantics retained,timestamp_spec_v1,Sanskruti,feature builder,no,REVIEW_REQUIRED
SCOPE-014,dynamic_feature_governance,MIMIC-derived ordered feature schema,Ordered synthetic features with unit generator source event-time range aggregation and leakage metadata,SYNTHETIC_EQUIVALENT,Source provenance changes while governance remains,Scope v2,Sanskruti,feature schema and provenance,yes,REVIEW_REQUIRED
SCOPE-015,static_feature_governance,MIMIC-derived ordered statics,Ordered synthetic cardiac statics with full provenance,SYNTHETIC_EQUIVALENT,Exact inventory is deferred,Scope v2,Sanskruti and Vedant,feature schema,yes,REVIEW_REQUIRED
SCOPE-016,observation_masks,Genuine observation mask,Genuine observation mask,RETAINED,Synthetic origin does not change missingness semantics,tensor_contract_v1,Sanskruti and Vedant,tensor contract,no,REVIEW_REQUIRED
SCOPE-017,tslo,True time since genuine in-window observation,Unchanged,RETAINED,Temporal staleness remains required,tensor_contract_v1,Sanskruti and Vedant,tensor contract,no,REVIEW_REQUIRED
SCOPE-018,padding,Pre-ICU nominal bins are structural padding,Pre-episode nominal bins are structural padding,RETAINED,Terminology changes but semantics do not,Scope v2,Sanskruti and Vedant,tensor contract,no,REVIEW_REQUIRED
SCOPE-019,sofa_severity,Pinned MIMIC-Code-style six-component SOFA,Versioned synthetic six-component 0-24 SOFA-style contract,SYNTHETIC_EQUIVALENT,MIMIC provenance is replaced while recovery measure remains,Scope v2,Sanskruti and Pulkit,SOFA spec and CurrentSOFA provider,yes,REVIEW_REQUIRED
SCOPE-020,recovery_target,Continuous independent DeltaSOFA24 and DeltaSOFA48,Unchanged,RETAINED,No approved target change,Master Plan,Sanskruti and Vedant,label and output contracts,yes,REVIEW_REQUIRED
SCOPE-021,recovery_horizons,24h and 48h,24h and 48h,RETAINED,No approved 72h target,Master Plan,Sanskruti and Vedant,label contract,no,REVIEW_REQUIRED
SCOPE-022,remaining_stay,log1p hours until current ICU stay ends,log1p hours until current synthetic ICU-like episode ends,SYNTHETIC_EQUIVALENT,Episode source changes but endpoint meaning remains,Scope v2,Sanskruti and Vedant,label and postprocess contracts,yes,REVIEW_REQUIRED
SCOPE-023,support_endpoint,New vasopressor or invasive ventilation initiation in next 24h,Unchanged with synthetic event mappings,RETAINED,Endpoint semantics are data-source agnostic,Master Plan and Pulkit contracts,Pulkit and Sanskruti,event dictionary and support labels,yes,REVIEW_REQUIRED
SCOPE-024,censoring,Incomplete negative follow-up is censored,Unchanged,RETAINED,Censoring is methodological,Master Plan,Pulkit and Vedant,support labels,no,REVIEW_REQUIRED
SCOPE-025,task_eligibility,One canonical grid with task-specific eligibility,Unchanged,RETAINED,No approved change,tensor_contract_v1,Sanskruti and Vedant,canonical schema,yes,REVIEW_REQUIRED
SCOPE-026,split,MIMIC anchor-era subject split,Synthetic subject split policy unresolved but isolation principles frozen,SUPERSEDED,Fake synthetic years are meaningless,Explicit data-source change and Scope v2,Vedant,split_spec successor,yes,REVIEW_REQUIRED
SCOPE-027,naive,Naive reference candidate,Unchanged,RETAINED,No approved model change,Master Plan,Vedant,validation suite,yes,REVIEW_REQUIRED
SCOPE-028,xgboost,XGBoost candidate on flattened canonical information,Unchanged,RETAINED,Data source does not change model role,Master Plan,Sanskruti and Vedant,search and parity,yes,REVIEW_REQUIRED
SCOPE-029,gru,GRU candidate per task,Unchanged,RETAINED,Data source does not change model role,Master Plan,Vedant,training and search,yes,REVIEW_REQUIRED
SCOPE-030,lstm,One fixed sensitivity run per task,Unchanged,RETAINED,No approved change,Master Plan,Vedant,sensitivity configs,yes,REVIEW_REQUIRED
SCOPE-031,search_budget,Exactly 30 XGBoost and 30 GRU configurations per task,Unchanged,RETAINED,Search governance is data-source agnostic,Master Plan,Vedant,search governance,yes,REVIEW_REQUIRED
SCOPE-032,metrics,Stay-balanced task-specific estimators,Unchanged,RETAINED,Repeated cutoffs remain clustered,Master Plan,Vedant,evaluation metrics,yes,REVIEW_REQUIRED
SCOPE-033,bootstrap,Stay_id cluster bootstrap,Unchanged,RETAINED,Episode clustering remains,Master Plan,Vedant,bootstrap config,yes,REVIEW_REQUIRED
SCOPE-034,selection,Per-task validation-only family selection,Unchanged,RETAINED,Test isolation remains,Master Plan,Vedant,selection contracts,yes,REVIEW_REQUIRED
SCOPE-035,calibration,Isotonic on selected support classifier validation predictions,Unchanged,RETAINED,No approved change,Master Plan,Vedant and Pulkit,calibrator lineage,yes,REVIEW_REQUIRED
SCOPE-036,threshold,Predefined F1 criterion on calibrated validation probabilities,Unchanged,RETAINED,No approved change,Master Plan,Vedant and Pulkit,threshold lineage,yes,REVIEW_REQUIRED
SCOPE-037,explanations,XGBoost TreeSHAP and GRU Integrated Gradients,Unchanged,RETAINED,Routing depends on family not data source,Master Plan,Pulkit,explanation router,yes,REVIEW_REQUIRED
SCOPE-038,prediction_pipeline,Truncate at t and reuse builder and frozen preprocessor,Unchanged,RETAINED,Serving equivalence remains mandatory,Master Plan,Pulkit,PredictionPipeline,yes,REVIEW_REQUIRED
SCOPE-039,api,Three-task historical-cutoff request and response,Unchanged,RETAINED,Task semantics did not change,prediction_schema_v1,Pulkit,prediction_schema_v1,yes,REVIEW_REQUIRED
SCOPE-040,dashboard,Retrospective task display,Unchanged with synthetic terminology,RETAINED,Transport and task display remain,Pulkit Phase 13,Pulkit,dashboard view models,yes,REVIEW_REQUIRED
SCOPE-041,replay,Retrospective sequential replay not real-time,Unchanged,RETAINED,Product mode remains explicit,Master Plan and README,Pulkit,replay controller,no,REVIEW_REQUIRED
SCOPE-042,final_test,Protected until G3 freeze,Protected until G3-equivalent freeze,RETAINED,Governance is data-source agnostic,TEST_SET_GOVERNANCE,Vedant,G3 and final-test guard,yes,REVIEW_REQUIRED
SCOPE-043,artifact_lineage,MIMIC extraction and artifact lineage,Generator schema config seed dataset cohort split and artifact lineage,SYNTHETIC_EQUIVALENT,Source lineage changes,Scope v2,All,registry and manifests,yes,REVIEW_REQUIRED
SCOPE-044,reproducibility,MIMIC extraction through final evidence,Generator execution through final evidence,SYNTHETIC_EQUIVALENT,Upstream reproducibility changes,Scope v2,All,reproducibility config and reports,yes,REVIEW_REQUIRED
SCOPE-045,evidence,Real-data scientific evidence,Synthetic-methodology evidence with explicit nonclaims,SYNTHETIC_EQUIVALENT,Claims must match final data,Scope v2,All,evidence manifests,yes,REVIEW_REQUIRED
SCOPE-046,clinical_limitations,Retrospective nonclinical single-center limitations,Synthetic-only not clinically validated and no bedside claims,SYNTHETIC_EQUIVALENT,Synthetic results cannot support clinical performance,Scope v2,All,README API dashboard and reports,yes,REVIEW_REQUIRED
SCOPE-047,mimic_credentials,Authorized PhysioNet access required,Not required for final scientific run,NOT_APPLICABLE,No MIMIC data are used,Explicit later team/user decision,Sanskruti,data-access documentation,no,REVIEW_REQUIRED
SCOPE-048,mimic_sql_itemids,MIMIC SQL tables fields and item IDs required,Not required; synthetic generator schema required,SUPERSEDED,Source is synthetic,Explicit later team/user decision,Sanskruti,extraction and provenance,yes,REVIEW_REQUIRED
SCOPE-049,mimic_sofa_commit,Immutable MIMIC-Code SOFA commit required,Versioned synthetic standard-SOFA specification required,SUPERSEDED,MIMIC-specific provenance is inapplicable,Scope v2,Sanskruti and Pulkit,SOFA provenance,yes,REVIEW_REQUIRED
SCOPE-050,mimic_ventilation_commit,Pinned MIMIC-Code ventilation concept required,Versioned synthetic ventilation interval/category contract required,SUPERSEDED,MIMIC mapping is inapplicable,Scope v2,Pulkit and Sanskruti,event dictionary,yes,REVIEW_REQUIRED
SCOPE-051,cardiac_subtypes,Not applicable to general ICU,Exact subtype taxonomy and distribution deferred,DEFERRED_PARAMETER,Phase 1 must not invent taxonomy,Scope v2,Sanskruti,generator specification,yes,REVIEW_REQUIRED
SCOPE-052,dataset_size,Real cohort determined by extraction,Final synthetic cohort size deferred,DEFERRED_PARAMETER,Phase 2 must justify scale,Scope v2,Sanskruti,generator config,yes,REVIEW_REQUIRED
SCOPE-053,split_parameters,MIMIC era mapping fixed,Percentages seed stratification and batch policy unresolved,DEFERRED_PARAMETER,No approved synthetic policy exists,Scope v2,Vedant,split_spec successor,yes,REVIEW_REQUIRED
