table,field,meaning,type,unit,generated_by,event_time_semantics,model_eligible,label_only,provenance_only,generator_internal,leakage_risk,downstream_consumer,status
subjects,subject_id,Opaque synthetic subject linkage,string,,identity_and_statics,STATIC,false,true,false,false,Identifier encoding target or split,cohort/timestamps/split,DRAFT_REVIEW_REQUIRED
subjects,age_years,Synthetic adult age,integer,years,identity_and_statics,STATIC,true,false,false,false,Unsupported distribution or future-summary encoding,Phase-5 statics,DRAFT_REVIEW_REQUIRED
subjects,sex_category,Reviewed synthetic sex/gender category,string,,identity_and_statics,STATIC,true,false,false,false,Unreviewed vocabulary or target-correlated assignment,Phase-5 statics,REVIEW_REQUIRED
subjects,cardiac_condition_group,Broad synthetic cardiac phenotype,string,,identity_and_statics,STATIC,true,false,false,false,Outcome template or epidemiologic overclaim,Phase-5 statics,REVIEW_REQUIRED
episodes,subject_id,Subject foreign key,string,,identity_and_statics,STRUCTURAL,false,true,false,false,Identity leakage if treated as feature,Vedant identity,DRAFT_REVIEW_REQUIRED
episodes,stay_id,Opaque synthetic episode identity,string,,identity_and_statics,STRUCTURAL,false,true,false,false,Outcome or split encoded in identifier,Vedant timestamps/Pulkit history,DRAFT_REVIEW_REQUIRED
episodes,intime,Explicit episode start,timestamp,UTC,episode_duration_and_calendar,STRUCTURAL,false,true,false,false,Calendar or elapsed-time shortcut if exposed as feature,Vedant timestamps/padding,DRAFT_REVIEW_REQUIRED
episodes,outtime,Explicit episode end,timestamp,UTC,episode_duration_and_calendar,STRUCTURAL_LABEL_ONLY,false,true,false,false,Direct remaining-time and horizon leakage,labels/censoring only,DRAFT_REVIEW_REQUIRED
episodes,episode_sequence,Core retained episode ordinal,integer,,identity_and_statics,STRUCTURAL,false,true,false,false,Admission-history proxy if multi-episode behavior changes,cohort retention,DRAFT_REVIEW_REQUIRED
episodes,generator_subject_stream_id,RNG substream identity,string,,identity_and_statics,PROVENANCE,false,false,true,false,RNG identity may encode subject ordering,provenance audit,DRAFT_REVIEW_REQUIRED
raw_events,event_id,Unique deterministic event identity,string,,observation_process,TIE_BREAKER,false,false,true,false,Identifier must not encode latent state,history/provenance,DRAFT_REVIEW_REQUIRED
raw_events,subject_id,Subject foreign key,string,,observation_process,STRUCTURAL,false,true,false,false,Identity memorization if modeled,history linkage,DRAFT_REVIEW_REQUIRED
raw_events,stay_id,Episode foreign key,string,,observation_process,STRUCTURAL,false,true,false,false,Stay memorization if modeled,history linkage,DRAFT_REVIEW_REQUIRED
raw_events,event_time,Observation availability time,timestamp,UTC,observation_process,AVAILABLE_AT_EVENT_TIME,false,true,false,false,Future-event visibility,Pulkit truncation/Phase-7 builder,DRAFT_REVIEW_REQUIRED
